initialize start
initialize done
[GIN] 2017/10/17 - 17:12:37 | 200 |     255.908µs |      127.1.15.1 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     177.892µs |     127.1.7.243 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     134.247µs |     127.1.2.184 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     299.624µs |     127.1.1.125 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     262.485µs |      127.1.0.62 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     137.313µs |      127.1.7.87 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     277.536µs |     127.1.2.184 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     269.096µs |     127.1.7.243 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     123.869µs |     127.1.1.164 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     230.104µs |      127.1.7.87 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     109.658µs |     127.1.8.142 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     140.327µs |      127.1.3.36 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     126.203µs |      127.1.10.6 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     115.882µs |     127.1.6.128 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     293.337µs |     127.1.8.142 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     127.925µs |     127.1.3.251 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     138.559µs |     127.1.5.114 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     130.572µs |      127.1.9.31 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     125.614µs |       127.1.6.7 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     155.278µs |     127.1.0.244 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |      78.423µs |    127.1.14.197 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     106.299µs |      127.1.4.83 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     119.592µs |    127.1.10.189 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |      137.73µs |      127.1.8.16 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     110.992µs |    127.1.11.118 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     288.478µs |      127.1.3.36 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 200 |     273.203µs |      127.1.10.6 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 302 |     115.355µs |     127.1.14.48 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     212.064µs |     127.1.6.128 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     249.257µs |     127.1.1.164 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     110.193µs |     127.1.5.168 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     259.906µs |     127.1.5.114 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     124.309µs |    127.1.11.247 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     344.686µs |       127.1.6.7 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     177.616µs |      127.1.9.31 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |      75.965µs |     127.1.4.211 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     109.577µs |    127.1.15.193 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |      73.202µs |      127.1.2.44 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     252.319µs |     127.1.0.244 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     288.408µs |     127.1.3.251 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     264.843µs |    127.1.11.247 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     216.074µs |    127.1.10.189 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 302 |     111.461µs |    127.1.13.230 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     213.039µs |    127.1.14.197 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     208.081µs |      127.1.4.83 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     219.282µs |     127.1.14.48 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     199.834µs |     127.1.4.211 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     116.269µs |     127.1.9.221 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     159.605µs |      127.1.2.44 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     218.904µs |    127.1.11.118 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |      68.328µs |     127.1.15.65 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     219.795µs |      127.1.8.16 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     132.693µs |     127.1.12.65 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     288.178µs |    127.1.15.193 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     258.087µs |     127.1.5.168 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 302 |     160.351µs |    127.1.12.199 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     265.023µs |     127.1.15.65 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     142.588µs |      127.1.1.89 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     261.678µs |     127.1.12.65 | GET      /
